SMILES	logP	logD	TPSA	MolWt	
QEDCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CC(C)C(=O)O	2.709	-1.004	97.15	342.0912373719999	0.8705135882713714
CCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CCC(=O)O	2.705	-0.881	97.15	342.0912373719999	0.8410356917436377
NCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CCC(=O)O	0.303	-1.37	123.17	343.08648634	0.7316104011408964
Cc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CC(N)C(=O)O	-0.467	-0.867	123.17	343.08648634	0.7532881710659476
N#CCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CCC(=O)O	1.309	-1.392	120.93999999999998	353.070836276	0.8209341492405969
CCCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CCC(=O)O	3.295	-0.553	97.15	356.1068874359999	0.7944434978787451
CCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CC(C)C(=O)O	3.212	-0.724	97.15	356.1068874359999	0.8292653877740063
CCC(Cc1c(C)cccc1SC1=C[N]c2c1nc[nH]c2=O)C(=O)O	2.978	-0.704	97.15	356.1068874359999	0.828882991928554
CCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CCCC(=O)O	2.974	-0.584	97.15	356.1068874359999	0.7944434978787451
CNCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CCC(=O)O	0.945	-1.537	109.18	357.102136404	0.6976047258876553
CC(Cc1c(CN)cccc1SC1=C[N]c2c1nc[nH]c2=O)C(=O)O	0.838	-1.36	123.17	357.102136404	0.7245905008737189
NCCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CCC(=O)O	0.759	-1.334	123.17	357.102136404	0.6918722261708377
NCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CCCC(=O)O	0.586	-1.257	123.17	357.102136404	0.6960221699652868
Cc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CN(C)CC(=O)O	0.578	-0.959	100.39	357.102136404	0.8193228455176393
CCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CNCC(=O)O	0.578	-1.338	109.18	357.102136404	0.6976047258876553
CNC(Cc1c(C)cccc1SC1=C[N]c2c1nc[nH]c2=O)C(=O)O	0.395	-1.395	109.18	357.102136404	0.7249565614035057
CCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CC(N)C(=O)O	-0.082	-0.826	123.17	357.102136404	0.7218133814944035
CCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1COCC(=O)O	1.615	-1.184	106.38	358.0861519919999	0.7863006324126072
COCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CCC(=O)O	1.723	-1.186	106.38	358.08615199199994	0.7863006324126072
CC(Cc1c(CO)cccc1SC1=C[N]c2c1nc[nH]c2=O)C(=O)O	1.457	-1.407	117.38	358.08615199199994	0.7254871483802883
O=C(O)CCc1c(CCO)cccc1SC1=C[N]c2c1nc[nH]c2=O	1.391	-1.383	117.38	358.086151992	0.692831355408481
O=C(O)CCCc1c(CO)cccc1SC1=C[N]c2c1nc[nH]c2=O	1.242	-1.313	117.38	358.086151992	0.696818026529004
NCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CNCC(=O)O	-1.263	-1.362	135.2	358.097385372	0.5731309011401445
NCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1COCC(=O)O	-0.446	-1.304	132.4	359.08140095999994	0.6756624836676706
O=C(O)CNCc1c(CO)cccc1SC1=C[N]c2c1nc[nH]c2=O	-0.933	-1.657	129.41	359.08140096000005	0.5745874756608783
O=C(O)COCc1c(CO)cccc1SC1=C[N]c2c1nc[nH]c2=O	0.054	-1.487	126.61	360.06541654800003	0.6769952182166379
CC(Cc1c(CC#N)cccc1SC1=C[N]c2c1nc[nH]c2=O)C(=O)O	1.806	-1.322	120.93999999999998	367.08648634	0.8087039623689848
N#CCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CCCC(=O)O	1.641	-1.218	120.93999999999998	367.08648634	0.7756686420626032
N#CCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1CNCC(=O)O	-0.494	-1.6	132.96999999999997	368.081735308	0.6715676800082593
N#CCc1cccc(SC2=C[N]c3c2nc[nH]c3=O)c1COCC(=O)O	0.458	-1.437	130.17	369.065750896	0.7604006526385811
